wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:09:57 +0000] "GET /tag/retention/feed/ HTTP/1.1" 200 15922 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://techtools.localhost:8088/) GuzzleHttp/7"
wordpress-1  | [Thu Jul 30 01:09:57.934260 2026] [php:warn] [pid 481:tid 481] [client 127.0.0.1:42460] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | [Thu Jul 30 01:09:57.934260 2026] [php:warn] [pid 228:tid 228] [client 127.0.0.1:42446] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | [Thu Jul 30 01:09:57.934260 2026] [php:warn] [pid 324:tid 324] [client 127.0.0.1:42452] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | [Thu Jul 30 01:09:57.934260 2026] [php:warn] [pid 27:tid 27] [client 127.0.0.1:42444] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:09:57 +0000] "GET /tag/sales-cycle/feed/ HTTP/1.1" 200 11867 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://techtools.localhost:8088/) GuzzleHttp/7"
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:09:57 +0000] "GET /tag/sales/feed/ HTTP/1.1" 200 29550 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://techtools.localhost:8088/) GuzzleHttp/7"
wordpress-1  | [Thu Jul 30 01:09:57.977475 2026] [php:warn] [pid 27:tid 27] [client 127.0.0.1:42444] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:09:57 +0000] "GET /tag/saas/feed/ HTTP/1.1" 200 153411 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://techtools.localhost:8088/) GuzzleHttp/7"
wordpress-1  | [Thu Jul 30 01:09:57.986490 2026] [php:warn] [pid 324:tid 324] [client 127.0.0.1:42452] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | [Thu Jul 30 01:09:58.006665 2026] [php:warn] [pid 481:tid 481] [client 127.0.0.1:42460] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:09:57 +0000] "GET /tag/scaling/feed/ HTTP/1.1" 200 14267 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://techtools.localhost:8088/) GuzzleHttp/7"
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:09:57 +0000] "GET /tag/scheduling/feed/ HTTP/1.1" 200 15098 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://techtools.localhost:8088/) GuzzleHttp/7"
wordpress-1  | [Thu Jul 30 01:09:58.025406 2026] [php:warn] [pid 27:tid 27] [client 127.0.0.1:42444] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:09:57 +0000] "GET /tag/saas/page/2/ HTTP/1.1" 200 62434 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://techtools.localhost:8088/) GuzzleHttp/7"
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:09:58 +0000] "GET /tag/scoping/feed/ HTTP/1.1" 200 11187 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://techtools.localhost:8088/) GuzzleHttp/7"
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:09:58 +0000] "GET /tag/scope-creep/feed/ HTTP/1.1" 200 21235 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://techtools.localhost:8088/) GuzzleHttp/7"
wordpress-1  | [Thu Jul 30 01:09:58.090323 2026] [php:warn] [pid 412:tid 412] [client 127.0.0.1:42486] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | [Thu Jul 30 01:09:58.090323 2026] [php:warn] [pid 451:tid 451] [client 127.0.0.1:42476] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | [Thu Jul 30 01:09:58.090323 2026] [php:warn] [pid 289:tid 289] [client 127.0.0.1:42464] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | [Thu Jul 30 01:09:58.090378 2026] [php:warn] [pid 19:tid 19] [client 127.0.0.1:42488] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:09:58 +0000] "GET /tag/small-business-law/feed/ HTTP/1.1" 200 16371 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://techtools.localhost:8088/) GuzzleHttp/7"
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:09:58 +0000] "GET /tag/second-brain/feed/ HTTP/1.1" 200 12524 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://techtools.localhost:8088/) GuzzleHttp/7"
